"","V1","V2"
"1",1.9,"2023-01-01"
"2",0.9,"2023-01-02"
"3",0.4,"2023-01-03"
"4",0.7,"2023-01-04"
"5",1,"2023-01-05"
"6",0.5,"2023-01-06"
"7",0.3,"2023-01-07"
"8",0.5,"2023-01-08"
"9",0.3,"2023-01-09"
"10",0.3,"2023-01-10"
"11",0.5,"2023-01-11"
"12",0.7,"2023-01-12"
"13",0.9,"2023-01-13"
"14",0.8,"2023-01-14"
"15",1.2,"2023-01-15"
"16",0.6,"2023-01-16"
"17",0.7,"2023-01-17"
"18",0.3,"2023-01-18"
"19",0.4,"2023-01-19"
"20",0.4,"2023-01-20"
"21",0.5,"2023-01-21"
"22",0.5,"2023-01-22"
"23",0.4,"2023-01-23"
"24",0.4,"2023-01-24"
"25",0.4,"2023-01-25"
"26",0.2,"2023-01-26"
"27",0.6,"2023-01-27"
"28",0.6,"2023-01-28"
"29",0.4,"2023-01-29"
"30",0.9,"2023-01-30"
"31",0.8,"2023-01-31"
"32",0.7,"2023-02-01"
"33",0.6,"2023-02-02"
"34",0.7,"2023-02-03"
"35",0.4,"2023-02-04"
"36",0.4,"2023-02-05"
"37",0.3,"2023-02-06"
"38",0.2,"2023-02-07"
"39",0.42422891572783,"2023-02-08"
"40",0.8,"2023-02-09"
"41",0.7,"2023-02-10"
"42",0.7,"2023-02-11"
"43",0.5,"2023-02-12"
"44",1,"2023-02-13"
"45",0.6,"2023-02-14"
"46",0.2,"2023-02-15"
"47",0.434309210367361,"2023-02-16"
"48",1,"2023-02-17"
"49",0.880699569954824,"2023-02-18"
"50",0.9,"2023-02-19"
"51",0.7,"2023-02-20"
"52",1.2,"2023-02-21"
"53",0.5,"2023-02-22"
"54",0.7,"2023-02-23"
"55",0.7,"2023-02-24"
"56",0.7,"2023-02-25"
"57",0.8,"2023-02-26"
"58",0.5,"2023-02-27"
"59",0.6,"2023-02-28"
"60",0.6,"2023-03-01"
"61",0.4,"2023-03-02"
"62",0.5,"2023-03-03"
"63",1.2,"2023-03-04"
"64",1.2,"2023-03-05"
"65",0.8,"2023-03-06"
"66",1.2,"2023-03-07"
